Username,Like_Count,Created_At,Comment
saur_abh163,0,2024-11-03 07:55:06,Wow ❤️🙏❤️
tanveerroshanshaikh,0,2024-11-03 07:49:26,😡😡😡😡😡😡😡😡😡😡😡😡😡
tanveerroshanshaikh,0,2024-11-03 07:49:22,Tobba Toobba😡
mohd_naved0015,0,2024-11-03 07:32:53,Naam kamane ke liye to dikhawa to karna hi padta hai
raj_rajput_708,0,2024-11-03 07:30:39,❤️❤️❤️
the_kalyug432,1,2024-11-03 07:27:48,Hindus aro never hate him but Muslim are hate him
abir_____is_____,0,2024-11-03 07:25:10,Na 😂
sujeet.prasad.50951101,0,2024-11-03 07:20:55,Sri om ganeshay namah
manusiaooo10,0,2024-11-03 07:17:12,🕉️ hemmmtttt 😂 he don't understand about Islam
isilcoskuner,0,2024-11-03 07:15:45,Üzücü. Müslüman olan bir insan için şirk.
r__rohoman___n.c.r,0,2024-11-03 07:13:32,Astaghfirullah 😢
sapna_up44__,0,2024-11-03 07:04:12,🙏🕉️
toufique_official_01,0,2024-11-03 06:28:17,Salman is man of heart..... SRK is man of money.... once i praise SRK and don't like salman.... now after death of baba siddiqui my love and respect for salman is increasing....
actress_riya_chatarji_01,0,2024-11-03 06:26:37,🙏🙏🙏
iron.01010,1,2024-11-03 06:19:34,He is ex Muslim 😂😂
khesari_lal_gor,0,2024-11-03 06:15:32,🙏❤️🕉️
ishhakansar,0,2024-11-03 06:11:06,यह मुश्रिक हैं
chakroborty9419,0,2024-11-03 05:43:24,🕉️🕉️🕉️🕉️🙏🙏😍😍😍😍❤️❤️❤️
saurabhkashyap0007,0,2024-11-03 05:34:38,❤️❤️
its___me___munna___khan_____09,0,2024-11-03 05:23:22,😡😡😡😡😡😡😡😡
__nxt__mazedul__07,0,2024-11-03 05:14:47,Astagfirullah
mohdjakir499,0,2024-11-03 05:06:11,😡😡😡😡
_nihan_8555,0,2024-11-03 04:55:47,Astagfirullah outta hair saale
bharatpatel3986,0,2024-11-03 04:38:47,🕉️🕉️🕉️🕉️🕉️🕉️🔥🔥🔥🔥🔥🔥
bharatpatel3986,0,2024-11-03 04:38:43,🕉️🕉️🕉️🕉️🕉️🕉️🕉️🔥🔥🔥🔥🔥
manu.vijayan06,0,2024-11-03 04:36:10,Converted 🐷 will cry now
